result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff
Replication data for: Information and Self-Enforcing Democracy,doi:10.7910/DVN/030OEX,"c(""Hyde, Susan"", ""Marinov, Nikolay"")",Nikolay Marinov Dataverse,Information and self-enforcing democracy: the role of international election observation,10.1017/s0020818313000465,0.181818181818182
Labor Market Institutions and Outward Foreign Direct Investment in OECD Countries,doi:10.7910/DVN/XF7UBI,"c(""Shin, Mi Jeong"", ""Lee, Chia-yi"")",International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse,Labor markets and the demand for foreign direct investment,10.1017/s0020818310000160,0.242419082265826
Replication Data for: A Race to the Top? The Aid Transparency Index and the Social Power of Global Performance Indicators,doi:10.7910/DVN/3GQTYA,"c(""Honig, Daniel"", ""Weaver, Catherine"")",International Organization (IO) Journal Dataverse,A race to the top? The aid transparency index and the social power of global performance indicators,10.1017/s0020818319000122,0
Replication Data for: Defense Cooperation Agreements and the Emergence of a Global Security Network,doi:10.7910/DVN/5XKNPS,"Kinne, Brandon J",Brandon J Kinne Dataverse,Defense cooperation agreements and the emergence of a global security network,10.1017/s0020818318000218,0
"Replication Data for: Peacekeeping, Compliance with International Norms, and Transactional Sex in Monrovia, Liberia",doi:10.7910/DVN/VEZQVS,"c(""Beber, Bernd"", ""Gilligan, Michael J."", ""Guardado, Jenny"", ""Karim, Sabrina"")",Bernd Beber Dataverse,"Peacekeeping, compliance with international norms, and transactional sex in monrovia, liberia",10.1017/s0020818316000242,0
erratum.txt,,NULL,,Erratum,10.1080/13533312.2016.1153250,0.121212121212121
Constitutional Power-Sharing Dataset V1,,NULL,,Constitutional engineering in post-dayton bosnia and herzegovina,10.1080/13533312.2012.721998,0.238800098175098
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1080/13533312.2013.846127,0.208333333333333
Citizen Science: Theory and Practice Dataverse,,NULL,,Conflict management in divided societies: theory and practice,10.1080/13533312.2014.938915,0.247540443638091
erratum.txt,,NULL,,Erratum,10.1080/13533312.2015.1054588,0.121212121212121
foreword.pdf,,NULL,,Foreword,10.1080/13533312.2010.516926,0.111111111111111
Measuring Salience in EU Legislative Politics ,doi:10.7910/DVN/VPLNUF,"Warntjen, Andreas",Measuring Salience in EU Legislative Politics Dataverse,"Measuring peace: principles, practices and politics",10.1080/13533312.2020.1726743,0.224538470358904
Replication Data for: Protection Through Presence: UN Peacekeeping and the Costs of Targeting Civilians,doi:10.7910/DVN/FD8O8W,"c(""Fjelde, Hanne"", ""Hultman, Lisa"", ""Nilsson, Desir�e"")",International Organization (IO) Journal Dataverse,Muddling on through? Cosmopolitan peacekeeping and the protection of civilians,10.1080/13533312.2016.1250627,0.228999825185563
Liberal Peace Implementation and the Durability of Post-war Peace,doi:10.7910/DVN/N9GVVE,"c(""Joshi, Madhav"", ""Roger Mac Ginty"", ""SungYong Lee"")",Harvard Dataverse,Liberal peace implementation and the durability of post-war peace,10.1080/13533312.2019.1618189,0
Replication Data for: Civil Conflict Fragmentation and the Effectiveness of UN Peacekeeping Operations,doi:10.7910/DVN/O5Y2OI,"Ari, Baris",Harvard Dataverse,Civil conflict fragmentation and the effectiveness of un peacekeeping operations,10.1080/13533312.2020.1761255,0
Replication Data for: Once and Future Peacemakers: Continuity of Third-Party Involvement in Civil War Peace Processes,doi:10.7910/DVN/NGHM1Y,"c(""Chen, Chong"", ""Beardsley, Kyle"")",Harvard Dataverse,Once and future peacemakers: continuity of third-party involvement in civil war peace processes,10.1080/13533312.2020.1768074,0
An Institutional Explanation of Troop Contributions in UN Peacekeeping Missions,doi:10.7910/DVN/WKNWAK,"Joshi, Madhav",Harvard Dataverse,An institutional explanation of troop contributions in un peacekeeping missions,10.1080/13533312.2020.1812392,0
Replication Data for Lobbyists for Hire: Collaboration between Interest Groups and Political Consultancies in the European Union,doi:10.7910/DVN/GVPPRK,"Huwyler, Oliver",Interest Group - Consultancy Collaboration,The dark side of institutional collaboration: how peacekeeping-counterterrorism convergences weaken the protection of civilians in mali,10.1080/13533312.2020.1821364,0.244742933723197
Sexual Exploitation and Abuse by Peacekeepers: Understanding Variation,doi:10.7910/DVN/CRQLIU,"c(""Nord�s, Ragnhild"", ""Rustad, Siri C.A."")",International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse,Sexual exploitation and abuse by un peacekeepers: a threat to impartiality,10.1080/13533311003625100,0.151289077095529
"Replication Data for: Democratic Openings and Country Visibility: Media Attention and the Allocation of US Democracy Aid, 1975-2010",doi:10.7910/DVN/ETEJJF,"c(""Scott, James"", ""Rowling, Charles"", ""Jones, Timothy"")",Foreign Policy Analysis Dataverse,"Democratizing dictators? Non-democratic regime conditions and the allocation of us democracy assistance, 1975–2010",10.1177/0192512119858358,0.213552616368627
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,Decentralization reforms in dictatorial regimes as a survival strategy: evidence from pakistan,10.1177/0192512117712177,0.236490057015714
Do Sanctions Always Stigmatize? The Effects of Economic Sanctions on Foreign Aid,doi:10.7910/DVN/LOZBTA,"c(""Early, Bryan"", ""Jadoon, Amira"")",International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse,Do sanction types affect the duration of economic sanctions? The case of foreign aid,10.1177/0192512117753150,0.208267195767196
The Political Economy of Power-Sharing,,NULL,,The political economy of state patronage of religion: evidence from thailand,10.1177/0192512118770178,0.239278752436647
Replication Data for: Heterogeneity in Voter Perceptions of Party Competition in Multidimensional Space: Evidence from Japan,doi:10.7910/DVN/VSS3KO,"c(""Miwa, Hirofumi"", ""Taniguchi, Masaki"")",Harvard Dataverse,Heterogeneity in voter perceptions of party competition in multidimensional space: evidence from japan,10.1177/0192512116661249,0
Replication Data for: Justices `en Garde': Ideological Determinants of the Dissolution of Anti-Establishment Parties,doi:10.7910/DVN/F8ITEB,"Moral, Mert",Mert Moral's Dataverse,Justices 'en garde': ideological determinants of the dissolution of anti-establishment parties,10.1177/0192512115620196,0.0232212308396249
Replication Data for: How do populist radical right parties differentiate their appeal? Evidence from the media strategy of the Hungarian Jobbik party,doi:10.7910/DVN/NYMEP5,"c(""Borb�th, Endre"", ""Gessler, Theresa"")",Harvard Dataverse,How do radical right populist parties influence resurging debates over the stripping of citizenship?,10.1177/0192512118803733,0.247228260869565
erratum.txt,,NULL,,Erratum,10.1177/0192512115569425,0.121212121212121
Replication Data for: Measuring Effective Democracy.,doi:10.7910/DVN/KRBQHT,"Knutsen, Carl Henrik",Carl Henrik Knutsen Dataverse,Measuring effective democracy,10.1177/0192512110364736,0.0111111111111111
Measuring Elections Dataverse,,NULL,,Measuring effective democracy: a defense,10.1177/0192512111414682,0.23764367816092
Minorities overlooked: Group-based power-sharing and the exclusion-amid-inclusion dilemma,doi:10.7910/DVN/ER4KD1,"Juon, Andreas",Andreas Juon Dataverse,Minorities overlooked: group-based power-sharing and the exclusion-amid-inclusion dilemma,10.1177/0192512119859206,0
Replication Data for Attitudes of urban residents toward environmental migration,doi:10.7910/DVN/PBLRV6,"Spilker, Gabriele",Attitudes of urban residents toward environmental migration,Ethnonationalism and attitudes towards same-sex marriage and abortion in northern ireland,10.1177/0192512118775832,0.239776691806475
Regime transition between eddy-driven and moist-driven circulation on High Obliquity Planets,,NULL,,"Regime legitimation, elite cohesion and the durability of autocratic regime types",10.1177/0192512115616830,0.236815619967794
Repression and Dissent in Contemporary Catalonia Dataverse,,NULL,,"Repression, political threats, and survival under autocracy",10.1177/0192512113488259,0.237673712578739
Replication Data for: Can Information Campaigns Impact Preferences toward Vote Selling? Theory and Evidence from Kenya,doi:10.7910/DVN/VRQFEP,"Erlich, Aaron",Aaron Erlich Dataverse,Can information campaigns impact preferences toward vote selling? Theory and evidence from kenya,10.1177/0192512119836283,0
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1111/ips.12078,0.208333333333333
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1111/j.1749-5687.2011.00122_1.x,0.208333333333333
erratum.txt,,NULL,,Erratum,10.1093/ips/olx001,0.121212121212121
Replication Data for the Turnout Example in Chapter 6 of Spatial Analysis for the Social Sciences,doi:10.7910/DVN/NGVKUS,"Darmofal, David",Data and Code for Spatial Analysis for the Social Sciences Dataverse,Killing reindeer: a spatial analysis of nordic states and nomadic forms of life in the arctic,10.1093/ips/olaa008,0.246680892731774
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1057/s41311-017-0087-z,0.208333333333333
foreword.pdf,,NULL,,Foreword,10.1057/ip.2015.33,0.111111111111111
The Political Economy of Power-Sharing,,NULL,,The political economy of anglo-american war: the case of iraq,10.1057/ip.2011.4,0.189469020357718
"Replication data for ""The Long-Run and Gender-Equalizing Impacts of School Access:  Evidence from the First Indochina War""",doi:10.7910/DVN/TYQVAC,"Dang, Hai-Anh",Economic Development and Cultural Change Dataverse,Economic size and the changing international political economy of trade: the development of western hemispheric ftas,10.1057/ip.2010.28,0.245201491186262
The Chinese Journal of International Politics Dataverse,,NULL,,The existence and use of 'evil' in international politics,10.1057/ip.2014.8,0.248808352279797
Military Capabilities Dataverse Dataverse,,NULL,,Military capabilities and regime type: the emergence of india–pakistan rivalry,10.1057/s41311-017-0123-z,0.242755889097353
Before Ratification: Understanding the Timing of International Treaty Effects on Domestic Policies,doi:10.7910/DVN/BOHZ2R,"c(""Baccini, Leonardo"", ""Urpelainen, Johannes"")",International Studies Quarterly Dataverse,"Before bisa: the british coordinating committee for international studies, s.h. Bailey, and the bailey conferences",10.1057/s41311-019-00185-9,0.232086626823469
Replication data for: Respect for Human Rights has Improved Over Time: Modeling the Changing Standard of Accountability,doi:10.7910/DVN/25830,"Fariss, Christopher",Human Rights Scores Dataverse,"The """"broadening"""" of international human rights: the cases of the right to development and right to democracy",10.1057/s41311-017-0025-0,0.248431143357588
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,The nationalist interpretation of nuclear deterrence: evidence from the kargil war,10.1057/s41311-017-0117-x,0.246400936860047
United Nations General Assembly Voting Data,doi:10.7910/DVN/LEJUQZ,"c(""Voeten, Erik"", ""Strezhnev, Anton"", ""Bailey, Michael"")",Erik Voeten Dataverse,United nations general assembly voting and foreign aid bypass,10.1057/s41311-018-0152-2,0.119513582533026
Replication Data for: The Long-Term Impact of Mobilization and Repression on Political Trust,doi:10.7910/DVN/DCAKKT,"c(""Desposato, Scott"", ""Wang, Gang"", ""Wu, Jason Y"")",Comparative Political Studies Dataverse,The political economic logic of rmb internationalization: a study in sino-capitalism,10.1057/ip.2015.15,0.248561507936508
Replication Data for: Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency (TIKA),doi:10.7910/DVN/4UZU8I,Pinar Ipek ,Foreign Policy Analysis Dataverse,The domestic resonance of geopolitical competition in american foreign policy: the rise of china and post-war us–soviet relations compared,10.1057/s41311-019-00174-y,0.243732564468939
Replication Data for: A National Study of Dockless Transportation: Land Use and Demographic Correlates of Trip Hotspots and Mode Shift,doi:10.7910/DVN/B2LJSB,"Boarnet, Marlon",Pacific Southwest Region University Transportation Center,A battle for transportation routes in the russian neighborhood: is there a place for small states?,10.1057/s41311-020-00241-9,0.24083522297808
"Replication Data for: Nuclear Aggressors, Nuclearizing Targets",doi:10.7910/DVN/QV78UD,"Jung, Sung Chul",Sung Chul Jung Dataverse,"Nuclear aggressors, nuclearizing targets: nuclear weapon development and preventive conflict",10.1093/irap/lcw006,0.188405797101449
Detecting Patterns in North Korean Military Provocations: What Machine-learning Tells Us,doi:10.7910/DVN/B8CWWD,"c(""Joo Hyung Min"", ""Whang Taehee"", ""Lammbrau, Michael"")",Harvard Dataverse,Detecting patterns in north korean military provocations: what machine-learning tells us,10.1093/irap/lcw020,0
erratum.txt,,NULL,,Erratum,10.1093/irap/lcp018,0.121212121212121
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1093/irap/lcq007,0.208333333333333
erratum.txt,,NULL,,Erratum,10.1093/irap/lcq006,0.121212121212121
"Replication data for: Something old, something new .... Institutions and turnout in Western democracies",doi:10.7910/DVN/2D7EFV,Kai Arzheimer,Kai Arzheimer Dataverse,"Something old, something new, something borrowed: rerepresentations of anarchy in international relations theory",10.1093/irap/lcr005,0.244047619047619
Replication data for: Testing and Measuring the Role of Ideas: The Case of Neoliberalism in the International Monetary Fund,doi:10.7910/DVN/LLFJD0,Jeffrey M. Chwieroth,International Studies Quarterly Dataverse,"Rockefeller, carnegie, and the limits of american hegemony in the emergence of australian international studies",10.1093/irap/lcr017,0.238933940397565
"Replication data for: Different in Asia? Developmental states, trade, and international conflict onset and escalation",doi:10.7910/DVN/29717,"Goldsmith, Benjamin E",Benjamin E. Goldsmith Dataverse,"Different in asia? Developmental states, trade, and international conflict onset and escalation",10.1093/irap/lct003,0
East Asia Regional Reanalysis Dataverse,,NULL,,East asia and international relations theory,10.1093/irap/lct024,0.235625485625486
Replication data for: Retractions,doi:10.7910/DVN/27626,"c(""Azoulay, Pierre"", ""Furman, Jeffrey"", ""Krieger, Joshua"", ""Murray, Fiona"")",Review of Economics and Statistics Dataverse,Retraction,10.1093/irap/lcy007,0.0303030303030303
Replication Data for: Can ethnic interests trump outgroup hostility? Trading ties versus outgroup hostility in Australian perceptions of China as a security threat,doi:10.7910/DVN/ZXHRFU,"Miller, Charles",Harvard Dataverse,Can economic interests trump ethnic hostility? Trading ties versus outgroup hostility in australian perceptions of china as a security threat,10.1093/irap/lcw001,0.153060152350933
Replication Data for: Determinants of Protest Participation in the Arab Uprisings: Grievances and Opportunities in Egypt and Tunisia,doi:10.7910/DVN/IVDL2Y,"Kılavuz, M. Tahir",Uluslararası İlişkiler-International Relations,"International relations of east asia: structures, institutions and international order",10.1093/irap/lcaa015,0.245118715144555
Migration and HIV risk among male migrant workers in India: Destination sites study,doi:10.7910/DVN/L03QEQ,"c(""Population Council"", ""Karnataka Health Promotion Trust"", ""Annamalai University"")",Avahan - Migration Research Dataverse,Migration governance and the migration industry in asia: moving domestic workers from indonesia to singapore,10.1093/irap/lcx010,0.227167930983192
Nicholas D. Anderson Dataverse,,NULL,,Nicholas rengger and two wars,10.1177/0047117820968620,0.240946193569882
Replication Data for: The Role of Democratic Governance and Indirect Expropriation in International Investment Treaty Violations,doi:10.7910/DVN/TBKLWV,"Carlson, David",Uluslararası İlişkiler-International Relations,"International intellectual history and international relations: contexts, canons and mediocrities",10.1177/0047117817723068,0.240608182584452
foreword.pdf,,NULL,,Foreword,10.1177/0047117816659585,0.111111111111111
Replication Data for:  Understanding Segmentation in Rural Electricity Markets: Evidence from India,doi:10.7910/DVN/TDMTRV,"c(""Thomas, Daniel"", ""Agrawal, Shalu"", ""Harish, S P"", ""Mahajan, Aseem"", ""Urpelainen, Johannes"")",Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,"National images, trust and international friendship: evidence from chinese students",10.1177/0047117820904091,0.244838487075236
Replication Data for  Norm Entrepreneurship in Foreign Policy:  William Hague and the Prevention of Sexual Violence in Conflict,doi:10.7910/DVN/5SPLEY,"True, Jacqui",Foreign Policy Analysis Dataverse,Interpreting change: international challenges and variations in foreign policy beliefs as explanations for shifts in china's policy towards the european union,10.1177/0047117815600933,0.239345950712376
Replication Data for: The Role of Democratic Governance and Indirect Expropriation in International Investment Treaty Violations,doi:10.7910/DVN/TBKLWV,"Carlson, David",Uluslararası İlişkiler-International Relations,The richness of the liberal tradition in international relations: karl deutsch on political community and the european integration,10.1177/0047117814545951,0.245791001451379
Replication Materials: The role of race and scientific trust on support for COVID-19 social distancing measures in the United States,,NULL,,The scope of military privatisation: military role conceptions and contractor support in the united states and the united kingdom,10.1177/0047117814552142,0.236261019002757
Research Network on Gender Politics and the State (RNGS) Dataverse,,NULL,,'We are not barbarians': gender politics and turkey's quest for the west,10.1177/0047117814565524,0.21981721981722
"HIV, hepatitis, and tuberculosis testing uptake among at-risk adults in Kisumu, Kenya: Testing practices prior to enrollment into an HIV incidence cohort",doi:10.7910/DVN/UANFUV,"Tunnage, Joshua",Military HIV Research Program-MHRP,Military privatization and the remasculinization of the state: making the link between the outsourcing of military security and gendered state transformations,10.1177/0047117812470574,0.240825312778651
Replication Data for: The Role of Democratic Governance and Indirect Expropriation in International Investment Treaty Violations,doi:10.7910/DVN/TBKLWV,"Carlson, David",Uluslararası İlişkiler-International Relations,International political authority: on the meaning and scope of justified hierarchy in international relations,10.1177/0047117819856396,0.242752055251585
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1177/0047117811415479,0.208333333333333
Replication Data for: A Study for Scholarly Impacts of International Relations Academics and Departments in Turkey through Google Scholar Data,doi:10.7910/DVN/EZTVWV,"c(""Balci, Ali"", ""Filiz Cicioglu"", ""Duygu Kalkan"")",Uluslararası İlişkiler-International Relations,"The poverty of paradigms: subcultures, trading zones and the case of liberal socialism in interwar international relations",10.1177/0047117811411740,0.248435658416372
Acknowledgements,,NULL,,Acknowledgements,10.1177/0047117812454805,0
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec.2010.34.3.3,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec.2010.34.4.3,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00009,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00015,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00031,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00041,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00050,0.192592592592593
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editors' note,10.1162/isec_e_00105,0.199232140408611
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00096,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00061,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00071,0.192592592592593
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editors' note,10.1162/isec_e_00074,0.199232140408611United States Bureau of Economic Analysis,United states joins consensus on paris climate agreement,10.1017/s0002930000759616,0.244714662397589
Replication Data for: Citizen Duty and the Ethical Power of Communities,doi:10.7910/DVN/RKVKY3,"Hur, Aram",British Journal of Political Science Dataverse,Citizen duty and the ethical power of communities: mixed-method evidence from east asia,10.1017/s0007123418000066,0.145593869731801
Replication Data for:  Understanding Segmentation in Rural Electricity Markets: Evidence from India,doi:10.7910/DVN/TDMTRV,"c(""Thomas, Daniel"", ""Agrawal, Shalu"", ""Harish, S P"", ""Mahajan, Aseem"", ""Urpelainen, Johannes"")",Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,"Outside earnings, absence, and activity: evidence from german parliamentarians",10.1016/j.ejpoleco.2014.07.007,0.243198649129521
"Replication data for ""Change in clinical knowledge of diabetes among primary healthcare providers in Indonesia: repeated cross-sectional survey of 5105 primary healthcare facilities""",doi:10.7910/DVN/CK4MHB,"Stein, Dorit","Replication data for ""Change in clinical knowledge of diabetes among primary healthcare providers in Indonesia: repeated cross-sectional survey of 5105 primary healthcare facilities""",Policy induced increases in private healthcare financing provide short-term relief of total healthcare expenditure growth: evidence from oecd countries,10.1016/j.ejpoleco.2019.02.001,0.248057200393736
Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,,NULL,,The impact of gender quotas on electoral participation: evidence from italian municipalities,10.1016/j.ejpoleco.2014.06.001,0.234634433483538
Replication Data for: Public attitudes toward genetic risk scoring in medicine and beyond,doi:10.7910/DVN/CL5XCF,"c(""Zhang, Simone"", ""Johnson, Rebecca A."", ""Novembre, John"", ""Freeland, Edward"", ""Conley, Dalton"")","Replication data for ""Public attitudes toward genetic risk scoring in medicine and beyond""",Institutional reform and public attitudes toward eu decision making,10.1111/1475-6765.12361,0.239853364755171
Replication Data for: In-group solidarity or out-group hostility in response to terrorism in France? Evidence from a regression discontinuity design,doi:10.7910/DVN/4TEDMI,"c(""Van Hauwaert, Steven M."", ""Huber, Robert A."")",Steven M. Van Hauwaert Dataverse,In‐group solidarity or out‐group hostility in response to terrorism in france? Evidence from a regression discontinuity design,10.1111/1475-6765.12380,0.0105820105820106
Replication Data for: Elite-Public Interaction on Twitter: EU issue Expansion in the Campaign,doi:10.7910/DVN/MR7YZK,"Fazekas, Zoltan",Harvard Dataverse,Elite‐public interaction on twitter: eu issue expansion in the campaign,10.1111/1475-6765.12402,0.00938967136150237
"Replication Data for: Different worlds of contention? Protest in Northwestern, Southern and Eastern Europe",doi:10.7910/DVN/HUEPQJ,"c(""Borb�th, Endre"", ""Gessler, Theresa"")",Harvard Dataverse,"Different worlds of contention? Protest in northwestern, southern and eastern europe",10.1111/1475-6765.12379,0
Replication Data for: Intra-Party Politics and Public Opinion: How Candidate Selection Processes affect Citizens' Satisfaction with Democracy ,doi:10.7910/DVN/4B5AD1,"c(""Shomer, Yael"", ""Put, Gert-Jan"", ""Gedalya-Lavy, Einat "")","Replication data for: ""Intra-Party Politics and Public Opinion: How Candidate Selection Processes affect Citizens' Satisfaction with Democracy"" Dataverse",Explaining cross-national variation in the relationship between priority congruence and satisfaction with democracy,10.1111/1475-6765.12077,0.240032882718305
Replication data for: The international diffusion of electoral systems: The spread of mechanisms tempering proportional representation across Europe,doi:10.7910/DVN/29167,"c(""Bol, Damien"", ""Pilet, Jean-Benoit"", ""Riera, Pedro"")",Damien Bol Dataverse,The international diffusion of electoral systems: the spread of mechanisms tempering proportional representation across europe,10.1111/1475-6765.12091,0
Replication Data for: Data Construction Files,doi:10.7910/DVN/ZZGSIL,"Zigler, Cory",Data Construction Files Dataverse,The construction of party membership,10.1111/1475-6765.12078,0.241694211373845
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editors' note,10.1162/isec_e_00074,0.199232140408611
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00081,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00086,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00106,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00120,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00131,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00142,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00162,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00170,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00153,0.192592592592593
Replication data for: Correspondence: Reevaluating Foreign-Imposed Regime Change,doi:10.7910/DVN/29233,"Nomikos, William",William G. Nomikos Data Dataverse,Reevaluating foreign-imposed regime change,10.1162/isec_c_00152,0.234811165845649
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00196,0.192592592592593
Replication data for: The Myth of Entangling Alliances: Reassessing the Security Risks of U.S. Defense Pacts,doi:10.7910/DVN/29669,"Beckley, Michael",International Security Dataverse,The myth of entangling alliances: reassessing the security risks of u.s. Defense pacts,10.1162/isec_a_00197,0
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00181,0.192592592592593
Replication data for: Barriers to Entry: Who Builds Fortified Boundaries and Why?,doi:10.7910/DVN/U16NEI,"c(""Wittenberg, Jason"", ""Hassner, Ron E."")",International Security Dataverse,Barriers to entry: who builds fortified boundaries and why?,10.1162/isec_a_00206,0
erratum.txt,,NULL,,Erratum,10.1162/isec_x_00193,0.121212121212121
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00186,0.192592592592593
The Security Bazaar: Business Interests and Islamist Power in Civil War Somalia - Supplementary Materials,doi:10.7910/DVN/28760,"Ahmad, Aisha",Ahmad SomData 2015 Dataverse,The security bazaar: business interests and islamist power in civil war somalia,10.1162/isec_a_00187,0.0825396825396826
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00209,0.192592592592593
Editor's Foreword,doi:10.7910/DVN/MEJBZT,Nathaniel Beck,Political Analysis Dataverse,Editors' note,10.1162/isec_e_00214,0.199232140408611
Balancing in Neorealism,doi:10.7910/DVN/LDDARY,"c(""Parent, Joseph "", ""Rosato, Sebastian"")",International Security Dataverse,Balancing in neorealism,10.1162/isec_a_00216,0
"Online appendix for ""Indignation, Ideologies, and Armed Mobilization: Civil War in Italy, 1943–45""",doi:10.7910/DVN/CBED0J,"c(""Ruggeri, Andrea"", ""Costalli, Stefano"")",International Security Dataverse,"Indignation, ideologies, and armed mobilization: civil war in italy, 1943–45",10.1162/isec_a_00218,0.212987826709631
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00247,0.192592592592593
Summary Reports,doi:10.7910/DVN/D6Y2FG,"Kosimov, Sherzod","CGIAR Research Program ""Dryland Systems"" Dataverse",Summaries,10.1162/isec_x_00233,0.192592592592593
