file_in	title	journal	data_count	stat_count	data_bool	stat_bool
10.1525_curh.2015.114.774.288	August 2015	Current History	3	0		
10.1177_0967010612451482	Military gender integration and foreign policy in the united states a feminist international relations perspective	Security Dialogue	10	4		
10.1177_1065912917715912	How do minority presidents manage multiparty coalitions Identifying and analyzing the payoffs to coalition parties in presidential systems	Political Research Quarterly	47	125		1
10.1017_s0260210510000598	Trading sovereignty for stability The political economy of monetary integration	Review of International Studies	23	59		1
10.1016_j.postcomstud.2011.10.005	Populism, nationalism, or national populism An analysis of slovak voting behaviour at the 2010 parliamentary election	Communist and Post-Communist Studies	78	183		1
10.1111_j.1475-4967.2012.00550.x	Oman the""forgotten"" corner of thearabspring	Middle East Policy	9	1		
10.1080_09668136.2010.515801	Books received	Europe-Asia Studies	0	0		
10.1016_j.marpol.2009.06.009	Illegal, unreported and unregulated fisheries catch in raja ampat regency, eastern indonesia	Marine Policy	36	5		1
10.1080_13439006.2020.1847474	Infectious disease and civilization in the 21st century the japanese sense of public morality in response to the invisible calamity that strikes the modern age	Asia-Pacific Review	1	0		
10.1017_s0003055415000192	Notes from the editors	American Political Science Review	12	6		
10.1177_1354068816668678	Determinants of legislative committee membership in proportional representation systems	Party Politics	62	210		1
10.1007_s10784-010-9133-7	Deepak rajagopal and david zilberman environmental, economic, and policy aspects of biofuels	International Environmental Agreements: Politics, Law and Economics	0	2		
10.1177_0967010618810925	Doing and mediating critique an invitation to practice companionship	Security Dialogue	0	4		
10.1093_ejil_chy028	Determinants of compliance difficulties among 'good compliers' implementation of international human rights rulings in the czech republic	European Journal of International Law	12	9		
10.1017_s002238161000071x	Lobbying in the european union institutions, actors and issues. Edited by david coen and jeremy richardson. (Oxford university press, 2009.)	The Journal of Politics	2	4		
10.1017_s000305541300004x	Capitol mobility madisonian representation and the location and relocation of capitals in the united states	American Political Science Review	31	7		1
10.1017_s0022381611001654	Modeling the institutional foundation of parliamentary government formation	The Journal of Politics	41	282		1
10.1080_02684527.2021.1857078	Tradecraft, the piab, and the 2007 nie on iran's nuclear intentions and capabilities	Intelligence and National Security	0	2		
10.1111_pops.12099	Richard ned lebow. The politics and ethics of identity in search of ourselves. Published by cambridge university press, 2012	Political Psychology	0	0		
10.1080_1554477x.2016.1198209	Bridging rhetoric and practice new perspectives on barriers to gendered change	Journal of Women, Politics & Policy	3	3		
10.1016_j.marpol.2015.08.011	Economic evaluation of vessel traffic service (vts) a contingent valuation study	Marine Policy	47	85		1
10.1177_0022343311427344	Climate change, violent conflict and local institutions in kenya's drylands	Journal of Peace Research	21	4		1
10.1017_s1049096516000883	Forget this choosing to leave academia after tenure	PS: Political Science & Politics	9	0		
10.1080_09557571.2014.886554	Alcuin lecture 2013 is there a future for the european union�and with britain in it	Cambridge Review of International Affairs	1	1		
10.1080_09662839.2019.1648258	Narratives of the eu in israel/palestine narrative ""stickiness"" and the formation of expectations	European Security	0	2		
10.1080_01402382.2019.1644575	Changing classes, changing preferences how social class mobility affects economic preferences	West European Politics	30	122		1
10.1080_13439006.2010.482759	Indian defense policy at a crossroads	Asia-Pacific Review	31	0		
10.1111_1467-856x.12064	Non-state actors and global crime governance explaining the variance of public-private interaction	The British Journal of Politics and International Relations	3	3		
10.1016_j.spacepol.2011.12.012	Language protocols in international human spaceflight time for a common tongue	Space Policy	0	0		
10.1111_pops.12242	How irish citizens negotiate foreign policy a social representations approach to neutrality	Political Psychology	3	2		
10.1093_ips_olz022	Enabling militarism The inclusion of soldiers with disabilities in the israeli military	International Political Sociology	1	2		
10.1111_padm.12660	Managing resource transposition in the face of extreme events fieldwork at two public networks in germany and the us	Public Administration	3	2		
10.1111_1758-5899.12186	Killer robots why the us should lead the ban	Global Policy	0	0		
10.1017_s1537592719002652	Reparations for police killings	Perspectives on Politics	1	0		
10.1093_ejil_chu008	Morten bergsmo (ed.). Quality control in fact-finding	European Journal of International Law	1	3		
10.1093_poq_nfw003	Revisiting the myth	Public Opinion Quarterly	143	121		1
10.1080_13523260.2016.1278343	Security sector reform in africa donor approaches versus local needs	Contemporary Security Policy	7	0	1	
10.1016_j.electstud.2010.06.001	Who gains from apparentments under d'hondt	Electoral Studies	84	113		1
10.1093_ejil_chr011	Filippo fontanelli, giuseppe martinico & paolo carrozza (eds). Shaping rule of law through dialogue. International and supranational experiences	European Journal of International Law	0	1		
10.1111_jopp.12176	Must rhodes fall The significance of commemoration in the struggle for relations of respect	Journal of Political Philosophy	3	5		
10.1177_0010836720906191	When democratic governance unites and divides social status and contestation in the organization for security and co-operation in europe	Cooperation and Conflict	1	1		
10.1177_0022002719883684	The ties that bind ethnicity, pro-government militia, and the dynamics of violence in civil war	Journal of Conflict Resolution	55	75		1
10.1093_isr_viy061	Corrigendum to ""van gennep meets ontological (in)security a processual approach to ontological security in migration	International Studies Review	0	0		
10.1007_s11127-011-9798-7	Why suicide-terrorists get educated, and what to do about it	Public Choice	27	49		
10.1007_s11127-018-00627-7	Collective decision-making of voters with heterogeneous levels of rationality	Public Choice	5	98		
10.1017_s1049096518001488	Graduate students & special programs funded	PS: Political Science & Politics	2	0		
10.1057_bp.2011.22	Democratic drift majoritarian modification and democratic anomie in the united kingdom	British Politics	2	0		
10.1017_s0007123411000445	Pressed into party support Media influence on partisan attitudes during the 2005 uk general election campaign	British Journal of Political Science	53	428		1
10.1177_002070201106600311	Canada's credibility as an actor in the middle east peace process	International Journal: Canada's Journal of Global Policy Analysis	0	1		
10.1080_03003930.2012.675330	What can social capital tell us about planning under localism	Local Government Studies	0	0		
10.1093_poq_nfz003	What do we measure when we measure affective polarization	Public Opinion Quarterly	5	37		1
10.1093_publius_pjx022	Measuring regional authority a postfunctionalist theory of governance, volume i, by liesbet hooghe, gary marks, arjan h. Schakel, sara niedzwiecki, sandra chapman osterkatz, and sarah shair-rosenfield	Publius: The Journal of Federalism	1	2		
10.1093_ijtj_iju026	Mimicry, transitional justice and the land question in racially divided former settler colonies	International Journal of Transitional Justice	0	3		
10.1080_13510347.2018.1544618	Between military rule and democracy regime consolidation in greece, turkey, and beyond, by yaprak g�rsoy	Democratization	0	0		
10.1017_s1537592719001749	Political science research in the middle east and north africa methodological and ethical challenges. Edited by janine a. Clark & francesco cavatorta. New york oxford university press, 2018. 328p. $99.00 cloth, $34.95 paper.	Perspectives on Politics	1	1		
10.1080_13523260.2017.1420608	Twittering for talent private military and security companies between business and military branding	Contemporary Security Policy	10	1		
10.1093_ijpor_edz045	Does government pay attention to the public The dynamics of public opinion and government attention in posthandover hong kong	International Journal of Public Opinion Research	84	32		1
10.1093_ejil_chu045	Social capital in the arbitration market	European Journal of International Law	41	53		1
10.1007_s11109-017-9441-5	Policy and blame attribution citizens' preferences, policy reputations, and policy surprises	Political Behavior	36	49		1
10.1086_685378	Holding individual representatives accountable the role of electoral systems	The Journal of Politics	61	131		1
10.1177_0305829819873955	Jens bartelson's 'as if' world and the (im)possibility of critique in international relations theory	Millennium: Journal of International Studies	2	1		
10.1111_j.1528-3585.2009.00390.x	When and how parliaments influence foreign policy the case of turkey's iraq decision	International Studies Perspectives	5	4		
10.1111_gove.12500	Contentious welfare the kurdish conflict and social policy as counterinsurgency in turkey	Governance	16	3	1	
10.1016_j.marpol.2016.08.010	Social, economic and environmental effects of closing commercial fisheries to enhance recreational fishing	Marine Policy	10	2	1	
10.1093_fpa_orx001	Strategic culture, domestic politics, and foreign policy finland's decision to refrain from operation unified protector	Foreign Policy Analysis	4	1		
10.1007_s11127-012-9933-0	A political economy model of market intervention	Public Choice	10	46		
10.1111_j.1748-5991.2011.01114.x	Agency under constraint ideological preferences and the politics of electricity regulation in latin america	Regulation & Governance	26	151		1
10.1525_curh.2017.116.793.315	Can democracies learn from china's meritocratic system	Current History	0	0		
10.1093_ser_mwy021	A perfect storm in a sunny economy a political economy approach to the crisis in spain	Socio-Economic Review	69	9	1	
10.1080_01402382.2014.909170	Brake rather than barrier the impact of the catholic church on morality policies in western europe	West European Politics	29	6		1
10.1162_jcws_r_00609			0	0		
10.1017_s1049096512000662	Apsa africa workshops 2012 program update and faqs	PS: Political Science & Politics	0	0		
10.1017_s1474745619000223	Wtr volume 18 issue 2 cover and back matter	World Trade Review	0	0		
10.1525_curh.2018.117.802.329	Lagging wages	Current History	0	0		
10.1111_j.1467-9299.2011.01939.x	A lipskian analysis of child protection failures from victoria climbi� to 'baby p' a street-level re-evaluation of joined-up governance1	Public Administration	0	2		
10.1177_0022343319865929	Buying blue helmets the role of foreign aid in the construction of un peacekeeping missions	Journal of Peace Research	53	353		1
10.1017_s1049096509990576	The ties that bind Networks, public administration, and political science	PS: Political Science & Politics	4	4		
10.1093_afraf_adt045	Orientacoes superiores time and bureaucratic authority in mozambique	African Affairs	2	3		
10.1093_poq_nfr055	Public opinion research in the new century reflections of a former poq editor	Public Opinion Quarterly	3	4		
10.2753_ppc1075-8216590101	Playing to lose	Problems of Post-Communism	16	2		
10.1017_s1049096512001448	What justice theory and climate- change politics can learn from each other	PS: Political Science & Politics	1	0		
10.1016_j.polgeo.2011.04.002	Have you heard the one about the disappearing ice Recasting arctic geopolitics	Political Geography	12	2	1	
10.1111_jcms.12229_2			1	1		
10.1146_annurev-polisci-051214-101237	Political economy of foreign direct investment globalized production in the twenty-first century	Annual Review of Political Science	39	8	1	
10.1177_0304375419841248	Defeat in interstate war and the probability of political liberalization	Alternatives: Global, Local, Political	71	69		1
10.1111_rego.2015.9.issue-2		Regulation & Governance	0	0		
10.1093_ijtj_ijy002	Assessing a late truth commission challenges and achievements of the brazilian national truth commission	International Journal of Transitional Justice	0	3	1	
10.1177_1354068811412157	Book reviews john bartle and paolo bellucci (eds) (2009)	Party Politics	0	1		
10.1111_pafo.12128	Japan's foreign policy on postwar issues relating to south korea	Pacific Focus	4	4		
10.1017_s0892679410000055	Face reality After you!�a call for leadership on climate change	Ethics & International Affairs	3	2		
10.1177_0305829820971694	Digitising the virtual movement and relations in drone warfare	Millennium: Journal of International Studies	0	11		
10.1017_s0260210510001166	Hegemonic metronome the ascendancy of western standard time	Review of International Studies	1	4		
10.1016_j.marpol.2015.01.014	From cannery to culinary luxury the evolution of the global geoduck market	Marine Policy	49	0	1	
10.1017_ajil.2020.5	Google llc v. Commission nationale de l'informatique et des libert�s (cnil)	American Journal of International Law	1	5		
10.1111_twec.12448	The role for long-run target values of the exchange rate in the bank of japan's policy reaction function	The World Economy	63	1664		1
10.1007_s11558-014-9196-2	Introduction to the special issue on the political economy of multilateral trade negotiations	The Review of International Organizations	3	3		
10.1017_psrm.2019.2	Bridging spatial and saliency theory party size and issue selection in campaigns	Political Science Research and Methods	43	184		1
10.1111_pafo.12038	China's monetary power internationalization of the renminbi	Pacific Focus	9	5	1	
10.1093_pan_mpr010	Of fixed-effects and time-invariant variables	Political Analysis	31	58		1
10.1080_14747731.2013.760930	Governing the global land grab multipolarity, ideas, and complexity in transnational governance	Globalizations	1	2		
10.1177_1354066116669652	The purpose of united nations security council practice contesting competence claims in the normative context created by the responsibility to protect	European Journal of International Relations	2	0		
10.1017_s1743923x11000122	Gender and devolution in spain and the united kingdom	Politics & Gender	6	1		
10.1017_s153759271800436x	Latin america since the left turn. Edited by tulia g. Falleti and emilio a. Parrado. Philadelphia university of pennsylvania press, 2017. 384p. $69.95 cloth.	Perspectives on Politics	1	0		
10.1111_j.1468-5965.2010.02090.x	Editorial 2009, a turning point for europe	JCMS: Journal of Common Market Studies	0	5		
10.1080_07036337.2018.1546302	Knowing is not loving media effects on knowledge about and attitudes toward the eu	Journal of European Integration	36	37		1
10.1080_21647259.2016.1192241	Light, heat and shadows women's reflections on peacebuilding in post-conflict bougainville	Peacebuilding	2	0		
10.1177_0305829813497822	Violence, self-authorship and the 'death of god' the 'traps' of the messianic and the tragic	Millennium: Journal of International Studies	0	6		
10.1093_ia_iiab093	Turkey's changing engagement with the global south	International Affairs	1	2		
10.1017_s1474745618000460	Mapping the new frontier of international ip law introducing a trips-plus dataset	World Trade Review	65	11		1
10.1017_s1537592718004267	Women, war, and power from violence to mobilization in rwanda and bosnia-herzegovina. By marie e. Berry. Cambridge cambridge university press, 2018. 294p. $99.99 cloth, $34.99 paper.	Perspectives on Politics	0	0		
10.1093_poq_nfu041	Education, intelligence, and attitude extremity	Public Opinion Quarterly	64	320		1
10.1111_pops.12228	Changes in income predict change in social trust a longitudinal analysis	Political Psychology	13	81		1
10.1111_1758-5899.12272	A global comprehensive measure of the impact of natural hazards and disasters	Global Policy	27	14	1	
10.1017_s0003055414000331	I wld like u wmp to extend electricity 2 our village"" on information technology and interest articulation	American Political Science Review	73	111		1
10.1111_1468-2346.12327	Deeply divided racial politics and social movements in post-war america. By doug mcadam and karina kloos	International Affairs	0	1		
10.1093_jopart_mus090	Frictions in polycentric administration with noncongruent borders evidence from ohio school district class sizes	Journal of Public Administration Research and Theory	109	384		1
10.1080_10357718.2016.1199656	Australian foreign policy the greens' approach	Australian Journal of International Affairs	0	0		
10.1177_0738894219863348	Command of the skies an air power dataset	Conflict Management and Peace Science	34	138		1
10.1111_jcms.12944	Political parties in deeply multilingual polities institutional conditions and lessons for the eu	JCMS: Journal of Common Market Studies	2	9		
10.1177_002070201006500110	Is peace possible�and how	International Journal: Canada's Journal of Global Policy Analysis	0	4		
10.1007_s10308-011-0303-1	Asian perceptions about the eu in the asia�europe meeting (asem)	Asia Europe Journal	2	2		
10.1111_twec.12097	An asian currency unit simulations for its effects on east asia	The World Economy	43	52	1	
10.5305_amerjintelaw.104.3.fm	Aji volume 104 issue 3 cover and front matter	American Journal of International Law	1	39		
10.1017_s1537592721000864	Ignored racism white animus toward latinos. By mark d. Ramirez and david a. M. Peterson. Cambridge cambridge university press, 2020. 238p. $99.99 cloth, $24.99 paper.	Perspectives on Politics	5	2		
10.1093_afraf_adv003	Bibliography	African Affairs	0	0		
10.1111_twec.12120	Do domestic firms benefit from foreign presence and import competition in irish services sectors	The World Economy	41	241		1
10.1007_s11109-018-9480-6	Roadmaps to representation an experimental study of how voter education tools affect citizen decision making	Political Behavior	34	66		1
10.1016_j.marpol.2009.09.003	Impacts of tuna industries on coastal communities in pacific island countries	Marine Policy	1	0		
10.1017_s000305542000026x	Censorship as reward evidence from pop culture censorship in chile	American Political Science Review	59	86		1
10.1017_s1049096518000690	Books by our readers	PS: Political Science & Politics	0	0		
10.1016_j.polgeo.2019.02.008	Occupied enclave' policing and the underbelly of humanitarian governance in kakuma refugee camp, kenya	Political Geography	8	0	1	
10.1080_00396338.2012.690987	Devising exit strategies	Survival	0	7		
10.1017_s0003055419000029	When do citizens respond politically to the local economy Evidence from registry data on local housing markets	American Political Science Review	72	106		1
10.1016_j.spacepol.2012.02.007	The role of the european parliament in the development of a european union space policy	Space Policy	1	3		
10.1007_s11127-011-9829-4	The role of income in the formation of new cities	Public Choice	76	63		1
10.1093_ijtj_ijt023	Transitional justice gets its own encyclopedia vitamins or steroids for a developing field	International Journal of Transitional Justice	1	1		
10.1093_ia_iiab054	The rules of contagion why things spread��and why they stop	International Affairs	0	0		
10.1017_s1537592720004168	Policy accumulation and the democratic responsiveness trap. By christian adam, steffen hurka, christoph knill, and yves steinebach. Cambridge cambridge university press, 2019. 250p. $99.99 cloth, $29.99 paper.	Perspectives on Politics	1	0		
10.1111_j.1477-7053.2009.01303.x	Semi-presidentialism, cohabitation and the collapse of electoral democracies, 1990�2008	Government and Opposition	3	2		
10.1017_s0007123417000308	Transparency, protest and democratic stability	British Journal of Political Science	51	124		1
10.1177_0738894213499677	Participation in imf-sponsored economic programs and contentious collective action in latin america, 1980�2007	Conflict Management and Peace Science	82	391		1
10.1093_jopart_mup004	Ecology of national rule birth a longitudinal study of dutch higher education law, 1960-2004	Journal of Public Administration Research and Theory	52	224		1
10.1086_706598	Inequality growth and economic policy liberalism an updated test of a classic theory	The Journal of Politics	19	118		1
10.1017_s0020818313000143	Can international nongovernmental organizations boost government services The case of health	International Organization	69	270		1
10.1162_jcws_r_00025			3	4		
10.1162_glep_r_00205			0	0		
10.1080_10357718.2012.681467	Development and religion theology and practice	Australian Journal of International Affairs	0	8		
10.1017_s0260210518000207	Guarding the guards pluralist accountability for human rights violations by international organisations	Review of International Studies	3	4		
10.1177_1354068819836037	Changing patterns of party unity in the knesset the consequences of the israeli anti-defection law	Party Politics	30	12		1
10.1111_mepo.12442	Shia militias and exclusionary politics in iraq	Middle East Policy	3	0		
10.1007_s10290-015-0217-x	Is labour the fall guy of a financial-led globalisation A cross-country inquiry on globalisation, financialisation and employment at the industry level	Review of World Economics	37	494		1
10.1080_13563467.2017.1311848	A political economy of youth policy in tunisia	New Political Economy	4	1		
10.1177_1354068817740758	Party competition and political representation in crisis	Party Politics	117	175	1	
10.1016_j.marpol.2013.03.006	Human�environment interaction in the baltic sea	Marine Policy	98	44		1
10.1111_twec.12226	Offshoring and home country r&d	The World Economy	36	436		1
10.1007_s10784-017-9381-x	Countries start to explain how their climate contributions are fair more rigour needed	International Environmental Agreements: Politics, Law and Economics	64	6	1	
10.1093_chinesejil_jmr018	Protection and admission of sovereign investment under investment treaties	Chinese Journal of International Law	1	8		
10.1017_lap.2020.36	Government and opposition in legislative speechmaking using text-as-data to estimate brazilian political parties' policy positions	Latin American Politics and Society	12	28		1
10.1017_gov.2015.17	Private debt and the anglo-liberal growth model	Government and Opposition	22	3	1	
10.1080_07036337.2014.959752	Corrigendum	Journal of European Integration	0	0		
10.1080_13629395.2012.725310	Leaders et partisans au liban	Mediterranean Politics	0	0		
10.1111_psj.12222	Issue information	Policy Studies Journal	0	0		
10.1111_padm.12101	Democratizing' public services Representation and elections in the scottish nhs	Public Administration	23	7	1	
10.1525_curh.2010.109.728.272	Map of asia	Current History	0	0		
10.1093_ejil_chaa068	Distant justice the impact of the international criminal court on african politics	European Journal of International Law	0	0		
10.1177_0047117816659532	Disruption and deniable interventionism explaining the appeal of covert action and special forces in contemporary british policy	International Relations	3	3		
10.1177_1465116517735599	Modes of government responsiveness in the european union evidence from council negotiation positions	European Union Politics	37	111		1
10.1057_bp.2014.17	Editorial	British Politics	0	0		
10.1007_s11109-018-9457-5	Pigeonholing partisans stereotypes of party supporters and partisan polarization	Political Behavior	31	25		1
10.1111_jcms.12902	Astrategic europe	JCMS: Journal of Common Market Studies	1	3		
10.1080_00396338.2015.1123429	Brief notices	Survival	1	0		
10.1080_02684527.2019.1703487	Intelligence studies programs as us public policy a survey of ic cae grant recipients	Intelligence and National Security	7	6	1	
10.1162_jcws_a_00143			0	2		
10.1007_s10784-020-09513-4	Beyond delegation size developing country negotiating capacity and ngo 'support' in international climate negotiations	International Environmental Agreements: Politics, Law and Economics	1	9	1	
10.1080_13510347.2016.1247808	Hitting the saturation point unpacking the politics of bureaucratic reforms in hybrid regimes	Democratization	9	1		
10.1017_s0007123414000027	Legislative gridlock and bureaucratic politics in the european union	British Journal of Political Science	63	31		1
10.1017_s1537592718004413	Marketcraft how governments make markets work. By steven k. Vogel. New york oxford university press, 2018. 200p. $34.95 cloth.	Perspectives on Politics	2	3		
10.1080_09668136.2010.481390	Books received	Europe-Asia Studies	0	0		
10.1111_ropr.12131	Cultural policy and governance reviewing policies related to cultural and creative industries implemented by the central government of taiwan between 2002 and 2012	Review of Policy Research	105	1	1	
10.1162_jcws_a_00930			2	0		
10.1017_s153759271500119x	Pps volume 13 issue 3 cover and back matter	Perspectives on Politics	1	1		
10.1007_s11127-017-0437-9	Free riders the economics and organization of outlaw motorcycle gangs	Public Choice	9	8		
10.1080_09668136.2011.585752	Business elites and the role of companies in society a comparative study of poland, hungary and germany	Europe-Asia Studies	178	10	1	
10.1525_curh.2011.110.734.91	The euro's never-ending crisis	Current History	0	0		
10.1016_j.marpol.2016.06.012	Who cares European attitudes towards marine and coastal environments	Marine Policy	14	8		
10.1177_0032329215571288	Who's borrowing Credit encouragement vs. Credit mitigation in national financial systems	Politics & Society	73	97		1
10.1080_13510347.2012.659021	Does regime type matter for the impact of democracy aid on democracy	Democratization	38	28		1
10.1080_0163660x.2011.588091	Al-qaeda and the rise of china jihadi geopolitics in a post-hegemonic world	The Washington Quarterly	1	1		
10.1057_s41311-017-0023-2	Transatlantic democracy promotion cooperation in crisis	International Politics	32	0		
10.1080_14754835.2020.1816164	Legal empowerment approaches in the context of covid-19	Journal of Human Rights	2	0		
10.1093_ser_mwv037	Does capitalism have a futureOn the dismal future of capitalismthe future of capitalismunfettered capitalism eats itselfthe next industrial revolution calls for a different economic system	Socio-Economic Review	25	7		
10.1080_13510347.2019.1694909	Islam, authoritarianism and underdevelopment a global and historical comparison	Democratization	1	0		
10.1111_1758-5899.12415	Why politics and context matter in conservation policy	Global Policy	0	3		
10.1017_s104909651800197x	Apsa workshops in the middle east and north africa	PS: Political Science & Politics	0	0		
10.1177_0305829820935520	Toward an individualist postcolonial cosmopolitanism	Millennium: Journal of International Studies	0	1		
10.1017_psrm.2015.19	Alliances and the high politics of international trade	Political Science Research and Methods	48	530		1
10.1016_j.jjie.2020.101110	Job tasks and wages in the japanese labor market evidence from wage functions	Journal of the Japanese and International Economies	130	827		1
10.1002_polq.13078	Imagining politics interpretations in political science and political television by stephen benedictdyson. Ann arbor, university of michigan press, 2019. 162 pp. Paper, $24.95.	Political Science Quarterly	0	0		
10.1177_0022002714540472	Pragmatic and promiscuous	Journal of Conflict Resolution	1	0		
10.1177_00027162211023354	(Dis)continuities in racialized legal violence	The ANNALS of the American Academy of Political and Social Science	0	1		
10.1016_j.marpol.2018.03.007	An analysis of the legal problems arising from the application of exclusivity clauses in the european union�s dormant fisheries agreements	Marine Policy	7	1		
10.1162_jcws.2010.12.2.95	When policy failed a view from the middle distance	Journal of Cold War Studies	0	0		
10.1086_697951	What is pivotal politics (and what else can it be)	The Journal of Politics	16	8	1	
10.1111_1478-9302.12038	Partners in progress British liberals and the labour party since 1918	Political Studies Review	0	4		
10.1093_ejil_chy089	Toward algorithmic checks and balances a rejoinder	European Journal of International Law	0	5		
10.1017_lap.2020.8	Place-sensitive policies in the provision of subnational public goods in colombia	Latin American Politics and Society	50	239		1
10.1111_1475-6765.12316	National parliamentary control and voting in the council of the european union	European Journal of Political Research	41	180		1
10.1111_rego.2013.7.issue-4		Regulation & Governance	0	2		
10.1016_j.polgeo.2010.08.001	Professional ethics and the politics of geographic knowledge the bowman expeditions	Political Geography	0	0		
10.1086_706461	Past place, present prejudice the impact of adolescent racial context on white racial attitudes	The Journal of Politics	58	74		1
10.1093_ia_iiy155	Do the geneva conventions matter	International Affairs	0	0		
10.1057_ip.2011.19	Ideas have consequences the cold war and today	International Politics	10	3		
10.1017_s0892679419000121	Artificial intelligence power to the people	Ethics & International Affairs	5	6		
10.1080_13501763.2017.1329846	Mobilizing european law	Journal of European Public Policy	3	2		
10.1093_ejil_chv030	Faith, ritual and rebellion in 21st century (positivist) international law	European Journal of International Law	1	2		
10.1111_jcms.13037	Crisis in the eurozone periphery the political economies of greece, spain, ireland and portugal, edited by o.parker and d.tsarouhas (london palgrave macmillan, 2018, isbn 9783319697208); xi+219pp., �122.00 hp.	JCMS: Journal of Common Market Studies	1	0		
10.1111_j.1541-0072.2011.00410.x	Deterrence theory and the implementation of speed limits in the american states	Policy Studies Journal	68	183		1
10.1007_s11127-010-9615-8	Editorial announcement	Public Choice	0	0		
10.1177_0047117812463153	Multipolarity, multilateralism and beyond � Eu� china understandings of the international system	International Relations	1	0		
10.1080_10357718.2018.1548565	Extending the 'system' of international criminal law The icc's decision on jurisdiction over alleged deportations of rohingya people	Australian Journal of International Affairs	0	0		
10.1007_s11127-015-0249-8	Primaries the unifying force	Public Choice	22	23		
10.1017_s0260210512000058	The prospects of deliberative global governance in the g20 legitimacy, accountability, and public contestation	Review of International Studies	0	2		
10.1057_bp.2015.45	Do stateless-nationalist-regionalist-parties differ from other party types Comparing organisational reform processes in plaid cymru and the scottish national party	British Politics	3	1		
10.1080_02684527.2019.1620547	From laboratory to the wmd commission how academic research influences intelligence agencies	Intelligence and National Security	12	7		
10.1080_09546553.2012.630624	A review of ""hillel frisch and efraim inbar (eds.).Radical islam and international security challenges and responses. Tamar meisels.the trouble with terror liberty, security, and the response to terrorism.	Terrorism and Political Violence	4	3		
10.1111_lsq.12011	Majority party power and procedural motions in the u.s. Senate	Legislative Studies Quarterly	55	259		1
10.1086_709861	Aristocracy in america tocqueville on white supremacy	The Journal of Politics	0	0		
10.1111_j.1467-9299.2012.02076.x	More than mayor or manager campaigns to change form of government in america's large cities - edited by james h. Svara and douglas j. Watson	Public Administration	0	1		
10.1080_21647259.2015.1040605	A 'post-liberal peace' via ubuntu	Peacebuilding	0	0		
10.1017_s1537592720003898	Amoral communities collective crimes in time of war. By mila dragojevic. Ithaca cornell university press, 2019. 224p. $45.00 cloth.	Perspectives on Politics	1	1		
10.1177_1354066119889401	Interactionist role theory meets ontological security studies an exploration of synergies between socio-psychological approaches to the study of international relations	European Journal of International Relations	0	4		
10.1111_twec.12661	Corruption and the shadow economy one-way or two-way street	The World Economy	159	438		1
10.1080_13608746.2018.1537175	Yet another case of electoral and government epidemic The turkish cypriot legislative election of january 2018	South European Society and Politics	11	0		
10.1093_poq_nfx022	Poverty	Public Opinion Quarterly	13	0	1	
10.1177_1354068817724174	Fighting for attention media coverage of negative campaign messages	Party Politics	66	112		1
10.1016_j.marpol.2015.12.027	On the future navigability of arctic sea routes high-resolution projections of the arctic ocean and sea ice	Marine Policy	103	27		1
10.1080_01402390.2016.1219094	From the editors	Journal of Strategic Studies	0	0		
10.1093_ejil_chy059	Treaty law and icc jurisdiction over the crime of aggression	European Journal of International Law	0	8		
10.1177_1532673x19826273	Family ties The limits of fathering daughters on congressional behavior	American Politics Research	65	166		1
10.1017_s1537592717001785	Separation of powers and legislative organization the president, the senate, and political parties in the making of house rules. By gisela sin. New york cambridge university press, 2015. 193p. $93.00.	Perspectives on Politics	1	2		
10.1080_09662839.2018.1517117	Framing the eu global strategy a stronger europe in a fragile world	European Security	0	0		
10.1016_j.marpol.2011.03.011	Discard mitigation � what we can learn from waste minimization practices in other natural resources	Marine Policy	8	3		
10.1177_1354066115612558	European integration in crisis Of supranational integration, hegemonic projects and domestic politics	European Journal of International Relations	1	0		
10.1057_cep.2010.1	Does european integration theory need sociology	Comparative European Politics	5	3		
10.1016_j.polgeo.2018.10.006	Urbanism and geopolitics the missing links	Political Geography	2	0		
10.1093_poq_nft039	Polling and democracy executive summary of the aapor task force report on public opinion and leadership	Public Opinion Quarterly	3	2		
10.1080_01402390.2014.907603	From the editors	Journal of Strategic Studies	3	0		
10.1111_j.1475-4967.2012.00562.x	Economic sanctions on authoritarian states lessons learned	Middle East Policy	2	1		
10.1080_13501763.2012.725888	Changes to the editorial team	Journal of European Public Policy	1	3		
10.1093_ia_iiaa125	North korea�us relations from kim jong il to kim jong un	International Affairs	0	0		
10.1093_poq_nfr048	Questions for surveys current trends and future directions	Public Opinion Quarterly	53	23		
10.1111_j.1467-9248.2012.00970.x	Mapping the language of women's interests sex and party affiliation in the bundestag	Political Studies	11	5		
10.1007_s11127-009-9519-7	Lobbying and (de)centralization	Public Choice	4	16		
10.1080_00908320.2016.1194089	Introduction	Ocean Development & International Law	0	1		
10.1080_09662839.2012.727181	European internal security as a public good	European Security	6	6		
10.1080_13501763.2017.1411381	Towards a theory of disintegration	Journal of European Public Policy	5	12		
10.1111_j.1468-2346.2012.01087.x	Institutional diffusion in international environmental affairs	International Affairs	2	3		
10.1017_s1537592709992581	Banking regulation and globalization. By andreas busch. New york oxford university press, 2009. 312p. $100.00. - the origins of europe's new stock markets. By elliot posner. Cambridge, ma harvard university press, 2009. 264p. $45.00.	Perspectives on Politics	0	0		
10.1017_s1049096517000075	The quest for legitimacy actors, audiences, and aspirations	PS: Political Science & Politics	0	1		
