file_in	title	journal	data_count	quant_count
10.1002_polq.12252	Report x marks the spot: the british government's deceptive dossier on iraq and wmd	Political Science Quarterly	1	1
10.1017_s1049096510001952	Political behavior in the context of racial diversity: the case for studying local politics	PS: Political Science & Politics	6	0
10.1111_ropr.12048	Energy abundance or environmental worries? Analyzing public support for fracking in the united states	Review of Policy Research	8	94
10.1177_1465116517752602	Eup referees 1 february 2016-31 october 2017	European Union Politics	0	0
10.1080_14616742.2015.1055137	Evelyn a. Clark.victims of time, warriors for change: chilean women in a global, neoliberal society	International Feminist Journal of Politics	0	0
10.1057_cep.2015.30	A new 'europe from below'? Cosmopolitan citizenship, digital media and the indignados social movement	Comparative European Politics	6	1
10.1111_j.1749-5687.2011.00152_5.x			0	0
10.1111_1468-2346.12078	Kennedy's international legacy, fifty years on	International Affairs	0	3
10.1007_s11127-009-9475-2	Determinants of the probability and timing of commercial casino legalization in the united states	Public Choice	153	116
10.1080_00396338.2020.1833553	Correction	Survival	0	0
10.1017_s0260210510000124	Financial governance and transnational deliberative democracy	Review of International Studies	0	6
10.1057_s41293-016-0032-6	The strange death of tory liverpool: conservative electoral decline in liverpool, 1945�1996	British Politics	4	1
10.1093_ser_mws010	The social embeddedness of multinational companies: a literature review	Socio-Economic Review	0	3
10.1017_s1537592716002528	Transitions and non-transitions from communism: regime survival in china, cuba, north korea, and vietnam. By steven saxonberg. Cambridge: cambridge university press, 2013. 364p. $125.00.	Perspectives on Politics	1	0
10.1017_s1537592720000134	Ideological representation: achieved and astray: elections, institutions, and the breakdown of ideological congruence in parliamentary democracies. By g. Bingham powell jr. Cambridge: cambridge university press, 2019. 266p. $99.99 cloth, $34.99 paper.	Perspectives on Politics	5	1
10.1177_1465116511417188	The european parliament: in need of a theory	European Union Politics	79	121
10.1016_j.ejpoleco.2020.101932	Health spending in italy: the impact of immigrants	European Journal of Political Economy	147	244
10.1111_pops.12343	Education and social trust: testing a causal hypothesis using the discordant twin design	Political Psychology	35	101
10.1002_j.1538-165x.2011.tb00713.x	Democratic divisions in the 1960s and the road to welfare reform	Political Science Quarterly	2	7
10.1080_19460171.2013.776501	The questioning theory of policy practice: outline of an integrated analytical framework	Critical Policy Studies	2	2
10.1016_j.marpol.2017.10.012	Market integration in the crustaceans market: evidence from germany	Marine Policy	27	120
10.1177_0010414019852694	Is bigger always better? How targeting aid windfalls affects capture and social cohesion	Comparative Political Studies	32	460
10.1016_j.marpol.2012.07.005	Socio-economic impacts of ocean acidification in the mediterranean sea	Marine Policy	27	8
10.1080_1540496x.2020.1785425	Does the indian financial market nosedive because of the covid-19 outbreak, in comparison to after demonetisation and the gst?	Emerging Markets Finance and Trade	0	0
10.1080_09668136.2021.1899136	Protecting nation, state and government: 'traditional islam' in azerbaijan	Europe-Asia Studies	3	8
10.1093_ejil_chu082	Friedrich kratochwil. The status of law in world society: meditations on the role and rule of law	European Journal of International Law	0	1
10.1080_01402382.2012.682425	European economic governance and policies (volumes i and ii)	West European Politics	0	0
10.1057_s41311-018-0144-2	Correction to: powers of the gun: process and possibility in global small arms control	International Politics	0	0
10.1017_s0892679411000050	Human trafficking: a global perspective, louise shelley (cambridge: cambridge university press, 2010), 356 pp., $85 cloth, $26.99 paper.	Ethics & International Affairs	0	0
10.1162_isec_a_00205			2	1
10.1177_0002716210385213	Erratum	The ANNALS of the American Academy of Political and Social Science	0	0
10.1017_s0022381610000022	Jop volume 72 issue 2 cover and back matter	The Journal of Politics	1	0
10.1017_s1049096511000461	Apsa names 2011�2012 minority fellows	PS: Political Science & Politics	0	0
10.1086_697252	Cabinets, committees, and careers: the causal effect of committee service	The Journal of Politics	44	176
10.1080_1060586x.2018.1547040	Russia's ministry of ambivalence: the failure of civic nation-building in post-soviet russia	Post-Soviet Affairs	18	1
10.1177_1354066117714529	Reflective practices at the security council: children and armed conflict and the three united nations	European Journal of International Relations	10	1
10.1080_09557571.2019.1623174	Long live pacifism! Narrative power and japan's pacifist model	Cambridge Review of International Affairs	1	3
10.1080_19460171.2019.1618356	Urban rage: the revolt of the excluded	Critical Policy Studies	0	1
10.1093_ips_olab004	Contributors	International Political Sociology	0	0
10.1177_0022343313497739	Peace through globalization and capitalism? Prospects of two liberal propositions	Journal of Peace Research	3	3
10.1016_j.marpol.2017.01.025	Assistance networks in seafood trade � a means to assess benefit distribution in small-scale fisheries	Marine Policy	54	2
10.1093_poq_nft029	Aapor award for exceptionally distinguished achievement	Public Opinion Quarterly	0	0
10.1093_fpa_orx015	Russia in the south china sea: balancing and hedging1	Foreign Policy Analysis	11	2
10.1007_s11109-009-9101-5	A genetic basis for social trust?	Political Behavior	101	61
10.1177_1354068818816970	Issue dimensionality and party competition in turbulent times	Party Politics	0	1
10.1111_jcms.12704	The rise and fall of merkozy: franco-german bilateralism as a negotiation strategy in eurozone crisis management	JCMS: Journal of Common Market Studies	5	9
10.1017_s0007123418000297	Policy preferences after crime victimization: panel and survey evidence from latin america	British Journal of Political Science	17	130
10.1017_s0022381611001575	Are voter decision rules endogenous to parties' policy strategies? A model with applications to elite depolarization in post-thatcher britain	The Journal of Politics	16	209
10.1086_694767	Modeling political information transmission as a game of telephone	The Journal of Politics	141	120
10.1093_ijtj_ijaa011	The pressures of getting it right: expertise and victims' voices in the work of the sierra leone truth and reconciliation commission (trc)	International Journal of Transitional Justice	1	2
10.1080_09512748.2018.1513551	Development of gray-zone deterrence: concept building and lessons from japan's experience	The Pacific Review	2	8
10.1111_j.1548-2456.2015.00267.x	Voting for democracy: campaign effects in chile's democratic transition	Latin American Politics and Society	40	85
10.1146_annurev-polisci-010620-041912	The politics of the black power movement	Annual Review of Political Science	7	11
10.1093_jopart_muw075	Public management research association	Journal of Public Administration Research and Theory	0	0
10.1017_s1537592719003608	Response to calvert w. Jones's review of hotels and highways: the construction of modernization theory in cold war turkey	Perspectives on Politics	2	0
10.1080_13533312.2016.1227933	Denmark and un peacekeeping: glorious past, dim future	International Peacekeeping	7	0
10.1080_13510347.2018.1475475	Islam and democracy after the arab spring, by john esposito, john obert esposito, and tamara sonn	Democratization	1	0
10.1111_j.1467-9221.2010.00787.x	The sins of the nation and the ritual of apologies - by danielle celermajer	Political Psychology	0	0
10.1111_j.1468-0491.2011.01541.x	Notes on contributors	Governance	0	0
10.1111_rego.2015.9.issue-1	""	Regulation & Governance	0	0
10.1111_j.1976-5118.2011.01053.x	Beyond the nuclear umbrella: re-thinking the theory and practice of nuclear extended deterrence in east asia and the pacific	Pacific Focus	1	6
10.1093_ejil_chx077	Plurality as a form of (mis)management of international dispute settlement: afterword to laurence boisson de chazournes' foreword	European Journal of International Law	2	5
10.1017_s0022381612001089	Strategic side payments: preferential trading agreements, economic reform, and foreign aid- errata	The Journal of Politics	0	0
10.1080_00963402.2020.1847482	1958: only world government can prevent the war nobody can win	Bulletin of the Atomic Scientists	0	1
10.1177_0032329220962656	Nine theses on twenty-first-century socialism	Politics & Society	0	3
10.1111_fpa.12021	Contributors	Foreign Policy Analysis	0	0
10.1017_s153759271400022x	Natural law and evangelical political thought. Edited by jesse covington, bryan t. Mcgraw, and micah watson. Lanham, md: lexington books, 2012. 304p.	Perspectives on Politics	0	0
10.1080_00396338.2019.1568042	Noteworthy	Survival	2	0
10.1017_s0892679414000331	Secret reports on nazi germany: the frankfurt school contribution to the war effort, franz neumann, herbert marcuse, and otto kirchheimer, raffaele laudani, eds. (Princeton, n.j.: princeton university press, 2013), 704 pp., $45 cloth.	Ethics & International Affairs	0	0
10.1080_00396338.2016.1142145	Defining isis	Survival	0	2
10.1162_glep_a_00199			42	207
10.1080_19460171.2011.606307	Three thoughts on the third wave	Critical Policy Studies	0	1
10.1017_ajil.2018.24	Aji volume 112 issue 1 cover and front matter	American Journal of International Law	0	51
10.1111_j.1468-5965.2012.02247_3.x			0	0
10.1162_glep_a_00259			3	2
10.1177_0022002713478564	Democratic values and support for militant politics	Journal of Conflict Resolution	45	405
10.1093_chinesejil_jmx037	Defining the imprecise contours of jus cogens in international law	Chinese Journal of International Law	0	4
10.1177_0022343320966783	First comes the river, then comes the conflict? A qualitative comparative analysis of flood-related political unrest	Journal of Peace Research	31	33
10.1111_jcms.13122	Cross-border healthcare in the eu: welfare burden or market opportunity? Evidence from the spanish experience	JCMS: Journal of Common Market Studies	8	1
10.2753_ppc1075-8216580302	Civil society in russia	Problems of Post-Communism	9	8
10.1111_1467-9248.12125	Beyond quotas: strategies to promote gender equality in elected office	Political Studies	0	0
10.1017_ajil.2019.89	Aji volume 114 issue 1 cover and front matter	American Journal of International Law	0	55
10.1093_ejil_chs041	International adjudication of global public goods: the intersection of substance and procedure	European Journal of International Law	2	16
10.1162_jcws_r_00645			0	0
10.1057_s41269-018-0102-4	Comparing engagement by migrants in domestic and in country-of-origin political activities across european cities	Acta Politica	68	627
10.1111_1758-5899.12785	Towards global cooperation: the case for a deliberative global citizens' assembly	Global Policy	2	3
10.1016_j.jjie.2020.101117	Who suffers from the covid-19 shocks? Labor market heterogeneity and welfare consequences in japan	Journal of the Japanese and International Economies	132	38
10.1016_j.marpol.2012.07.002	"Rebuttal to froese and proelss """"evaluation and legal assessment of certified seafood"	Marine Policy	13	0
10.1111_pafo.12079	From middle power to pivot power: korea as an arctic observer in the age of eurasia	Pacific Focus	31	5
10.1111_j.1467-9256.2010.01397.x	Institutional layering: a review of the use of the concept	Politics	2	0
10.1111_misr.12062	Liberal warfare: a crusade twice removed	International Studies Review	2	2
10.1017_s1537592710003312	State, power, anarchism	Perspectives on Politics	1	0
10.1017_s1537592715002273	Ripples from the first wave: the monarchical origins of the welfare state	Perspectives on Politics	52	442
10.1017_s1537592721000098	Rousseau's reader: strategies of persuasion and education. By john t. Scott. Chicago: university of chicago press, 2020. 336p. $35.00 cloth.	Perspectives on Politics	0	0
10.1057_s41311-017-0024-1	The social origins of japanese nuclear power: a gramscian analysis	International Politics	1	2
10.1093_chinesejil_jmt040	Entangled relationship between article 2.1 of the tbt agreement and certain other wto provisions	Chinese Journal of International Law	1	11
10.1177_0032321719831984	The principle of restraint: public reason and the reform of public administration	Political Studies	3	4
10.1017_s1755773921000011	Where is the class bias attenuation? The consequences of adopting compulsory voting in austria-hungary in 1907	European Political Science Review	54	206
10.1093_pan_mpu001	Measuring transparency	Political Analysis	157	80
10.1080_13439006.2014.982845	Japan's choices in a changed security environment	Asia-Pacific Review	1	1
10.1111_j.1468-5965.2012.02317.x	Explaining policy conflict across institutional venues: european union-level struggles over the memory of the holocaust	JCMS: Journal of Common Market Studies	0	2
10.1111_1758-5899.12425	Critical digital diplomacy as a global challenge: the south korean experience	Global Policy	5	3
10.1093_ejil_chq029	William boothby. Weapons and the law of armed conflict	European Journal of International Law	3	1
10.1017_s0043887113000191	Us versus them: mass attitudes toward offshore outsourcing	World Politics	63	758
10.1017_s1537592719001907	Pps volume 17 issue 2 cover and front matter	Perspectives on Politics	1	2
10.1093_ia_iiw022	Oil and the kurdish question: how democracies go to war in the era of late capitalism, the kurdish spring: a new map of the middle east	International Affairs	0	0
10.1017_s0892679419000200	Eia volume 33 issue 3 cover and back matter	Ethics & International Affairs	1	1
10.1080_13510347.2020.1827230	Are would-be authoritarians right? Democratic support and citizens' left-right self-placement in former left- and right- authoritarian countries	Democratization	59	27
10.1111_padm.12052	Institutional layering in governing healthcare quality	Public Administration	4	7
10.1007_s11109-019-09557-6	In-group love versus out-group hate: which is more important to partisans and when?	Political Behavior	75	124
10.1007_s12116-019-09278-1	Legislature size, local government expenditure and taxation, and public service access in indonesia	Studies in Comparative International Development	181	162
10.1093_pan_mpw014	Dealing with separation in logistic regression models	Political Analysis	99	160
10.1016_j.ejpoleco.2009.11.003	A new approach to procedural freedom in game forms	European Journal of Political Economy	30	10
10.1017_s0003055420001124	When unfamiliarity breeds contempt: how partisan selective exposure sustains oppositional media hostility	American Political Science Review	34	77
10.1017_s1537592718003390	Is there a trump effect? An experiment on political polarization and audience costs	Perspectives on Politics	17	22
10.1017_s1537592711003781	Feminist policymaking in chile. By liesl haas	Perspectives on Politics	0	0
10.1177_0968344516682056	Conquering the home front: radio biafra in the nigeria�biafra war, 1967�1970	War in History	1	0
10.1093_ia_iiaa121	Stars with stripes: the essential partnership between the european union and the united states	International Affairs	0	0
10.1016_j.ejpoleco.2012.11.001	How does political instability affect economic growth?	European Journal of Political Economy	122	1009
10.1093_irap_lcv014	Buying the best favor: foreign aid for cooperation or convenience	International Relations of the Asia-Pacific	44	335
10.1017_s0143814x09990183	Institutional performance and compliance with eu law: czech republic, hungary, slovakia and slovenia	Journal of Public Policy	5	3
10.1007_s10784-018-9393-1	Halon management and ozone-depleting substances control in jordan	International Environmental Agreements: Politics, Law and Economics	33	1
10.1177_1354066117705704	Against network thinking: a critique of pathological sovereignty	European Journal of International Relations	0	5
10.1016_j.marpol.2020.104005	Maritime transport and economic growth: interconnection and influence (an example of the countriesin the caspian sea coast; russia, azerbaijan, turkmenistan, kazakhstan and iran)	Marine Policy	44	8
10.1177_1065912917751121	Announcements	Political Research Quarterly	0	0
10.1017_ajil.2017.86	Maritime delimitation in the indian ocean	American Journal of International Law	0	4
10.1111_j.1468-5965.2012.02265_9.x			1	1
10.1111_j.1541-1338.2011.00503.x	Heroes of invention: technology, liberalism and british identity 1750-1914 - by christine macleod	Review of Policy Research	1	0
10.1017_s0020818318000139	Defending hierarchy from the moon to the indian ocean: symbolic capital and political dominance in early modern china and the cold war	International Organization	12	5
10.1080_09700161.2020.1784679	Modi and the reinvention of indian foreign policy	Strategic Analysis	0	2
10.1093_publius_pjt061	Publius * the journal of federalism volume 44 number 2 spring 2014 - back cover	Publius: The Journal of Federalism	0	0
10.1146_annurev-polisci-120117-110316	Theories of institutional corruption	Annual Review of Political Science	5	7
10.1017_s1474745619000156	Democracy, redistribution and the wto: a comment on quinn slobodian's book globalists: the end of empire and the birth of neoliberalism harvard university press, 2018	World Trade Review	2	6
10.1080_09668136.2014.941697	Post-soviet civil society development in the russian federation: the impact of the ngo law	Europe-Asia Studies	5	2
10.1017_s0022381614000188	From bombs to ballots: when militant organizations transition to political parties	The Journal of Politics	56	437
10.1017_s0007123412000634	Does peacekeeping work? A disaggregated analysis of deployment and violence reduction in the bosnian war	British Journal of Political Science	60	172
10.1177_0968344520976415	Editors' comment	War in History	0	0
10.1017_s1537592711005159	Religion and war resistance in the plowshares movement. By sharon erickson nepstad. New york: cambridge university press, 2008. 284p. $93.00 cloth, $27.00 paper.	Perspectives on Politics	0	0
10.1007_s11127-015-0252-0	Collective action: fifty years later	Public Choice	46	129
10.1111_ajps.12542	"Erratum: """"the economic consequences of partisanship in a polarized era"	American Journal of Political Science	4	18
10.1080_1060586x.2016.1138627	Victor h. Winston, 1925�2015	Post-Soviet Affairs	0	4
10.1111_1475-6765.12421	Between governance-driven democratisation and democracy-driven governance: explaining changes in participatory governance in the case of barcelona	European Journal of Political Research	8	1
10.1111_j.1749-5687.2011.00120.x	Armed resistance and self-esteem: ex-combatants in palestine and south africa	International Political Sociology	5	3
10.1111_j.1468-5965.2012.02258.x	Financial crises in iceland and ireland: does european union and euro membership matter?	JCMS: Journal of Common Market Studies	2	39
10.1177_1065912913513351	James wilson versus the bill of rights	Political Research Quarterly	0	3
10.1016_j.ejpoleco.2015.11.002	Organized crime and electoral outcomes. Evidence from sicily at the turn of the xxi century	European Journal of Political Economy	115	437
10.1017_s1537592711004075	Referees for 2010�2011	Perspectives on Politics	0	0
10.1007_s10784-010-9113-y	Environmental implications of trade liberalization on north american transport services: the case of the trucking sector	International Environmental Agreements: Politics, Law and Economics	60	95
10.1017_s1755773911000105	Keeping the dream alive: the european court of justice and the transnational fabric of integrationist jurisprudence	European Political Science Review	2	3
10.1057_cep.2015.45	Evaluations of the quality of the representative channel and unequal participation	Comparative European Politics	64	1578
10.1017_s1537592712003295	Enduring injustice. By jeff spinner-halev. New york: cambridge university press, 2012. 246p. $95.00 cloth, $27.99 paper.	Perspectives on Politics	0	0
10.1017_s1537592719003256	Just giving: why philanthropy is failing democracy and how it can do better. By rob reich. Princeton: princeton university press, 2018. 256p. $27.95 cloth.	Perspectives on Politics	1	0
10.1093_afraf_adv035	Does organized crime exist in africa?: figure 1	African Affairs	4	3
10.1111_1758-5899.12416	Generating sustained political priority for non-communicable diseases: towards a suitable governance model	Global Policy	0	3
10.1017_s1049096516001979	Psc volume 49 issue 4 cover and front matter	PS: Political Science & Politics	0	2
10.1177_1354068816642802	It hurts when it really matters	Party Politics	51	152
10.1177_0022002712464315	Aid	Journal of Conflict Resolution	1	0
10.1111_j.1468-2486.2010.00980.x	New normative grounds for territorial claims	International Studies Review	1	0
10.1177_0022343311406305	Foreign military intervention and women's rights	Journal of Peace Research	97	167
10.1093_ser_mwv004	Policy ideas, knowledge regimes and comparative political economy	Socio-Economic Review	7	2
10.1017_s1474745616000355	Wtr volume 15 issue 4 cover and front matter	World Trade Review	0	0
10.1080_14616742.2017.1361686	Building dignified worlds: geographies of collective action, by gerda roelvink	International Feminist Journal of Politics	0	2
10.1016_j.marpol.2020.103921	Epistemic justice and the integration of local ecological knowledge for marine conservation: lessons from the seychelles	Marine Policy	13	4
10.1093_ijpor_edx019	Gender gaps in the measurement of public opinion about homosexuality in cross-national surveys: a question-wording experiment	International Journal of Public Opinion Research	12	48
10.1177_0022343316631033	Endogenous networks and international cooperation	Journal of Peace Research	157	69
10.1002_polq.12515	How policy shapes politics: rights, courts, litigation, and the struggle over injury compensation by jebbarnes and thomas f.burke. New york, oxford university press, 2015. 272 pp. $39.95.	Political Science Quarterly	0	0
10.1017_s1537592719003384	What are intellectuals good for?	Perspectives on Politics	0	1
10.1080_17502977.2018.1466945	Water service provision and peacebuilding in east timor: exploring the socioecological determinants for sustaining peace	Journal of Intervention and Statebuilding	9	1
10.1093_isr_viy053	Forum: in the beginning there was no word (for it): terms, concepts, and early sovereignty	International Studies Review	1	1
10.1086_703419	New takes on who gets what: recent research on the politics of social policy provision in latin america	The Journal of Politics	1	4
10.1093_ia_iix149	Desert kingdoms to global powers: the rise of the arab gulf	International Affairs	0	0
10.1080_13563467.2017.1286639	Putting the 'amsterdam school' in its rightful place: a reply to juan ignacio staricco's critique of cultural political economy	New Political Economy	0	3
10.1057_ap.2014.26	Electoral participation and intergenerational transmission among turkish migrants in western europe	Acta Politica	52	133
10.1080_1060586x.2016.1251024	New shop owners in old buildings: spatial politics of the apparel industry in kyrgyzstan	Post-Soviet Affairs	8	0
10.1111_ajps.12521	Policy diffusion: the issue-definition stage	American Journal of Political Science	42	14
10.1017_s1049096514000092	Forecasting us presidential elections using economic and noneconomic fundamentals	PS: Political Science & Politics	10	11
10.1111_j.1540-5907.2010.00489.x	Is anybody listening? Evidence that voters do not respond to european parties' policy statements during elections	American Journal of Political Science	53	54
10.1093_poq_nfq073	"Global warming"""" or """"climate change""""?: whether the planet is warming depends on question wording"	Public Opinion Quarterly	186	18
10.1080_10758216.2017.1351304	Police reform in ukraine as institutional bricolage	Problems of Post-Communism	5	2
10.1016_j.marpol.2013.01.011	Public preferences regarding use and condition of the baltic sea�an international comparison informing marine policy	Marine Policy	67	44
10.1017_lap.2017.2	Lap volume 60 issue 1 cover and back matter	Latin American Politics and Society	0	0
10.1111_ropr.12191	Blm, the administrative presidency, and policy shifts: policy tools affecting oil and gas operations	Review of Policy Research	5	8
10.1111_j.1467-9299.2012.02094.x	America's debt safety-net	Public Administration	14	6
10.1111_mepo.12199	"Erdogan's """"new turkey"""" slides into turmoil"	Middle East Policy	2	0
10.1017_s1537592713001977	Sinicization and the rise of china: civilizational processes beyond east and west. Edited by peter j. Katzenstein. New york: routledge, 2012. 296p. $145.00 cloth, $29.95 paper.	Perspectives on Politics	2	3
10.1017_s0007123412000282	Electoral institutions and the emergence of terrorist groups	British Journal of Political Science	124	164
10.1111_twec.12426	Local content requirements versus tariff equivalents: how we measure matters	The World Economy	36	13
10.1017_s1537592717003541	Agenda crossover: the influence of state delegations in congress. By sarah a. Treul. New york: cambridge university press, 2017. 170p. $99.99 cloth.	Perspectives on Politics	6	2
10.1093_ejil_chz071	Human rights in global health: rights-based governance for a globalizing world	European Journal of International Law	0	1
10.1080_09644008.2012.679659	Age, period and cohort effects in the decline of party identification in germany: an analysis of a two decade panel study in germany (1992�2009)	German Politics	36	19
10.1111_j.1478-9302.2011.00235.x	Is consociational theory the answer to global conflict? From the netherlands to northern ireland and iraq	Political Studies Review	0	0
10.1017_s1537592718001378	Women as wartime rapists: beyond sensation and stereotyping. By laura sjoberg. New york: new york university press, 2016. 320p. $89.00 cloth, $30.00 paper.	Perspectives on Politics	1	1
10.1002_j.1538-165x.2011.tb02156.x	Capital ideas: the imf and the rise of financial liberalizationby jeffrey m. Chwieroth	Political Science Quarterly	0	0
10.1080_09668136.2014.990714	List of contributors of regular articles and reviews	Europe-Asia Studies	0	0
10.1017_s1755773920000302	Epr volume 12 issue 3 cover and back matter	European Political Science Review	0	0
10.1080_13523260.2015.1061751	Escaping the false dilemma of strategic nuclear and biological deterrence	Contemporary Security Policy	0	1
10.1177_0305829818808385	Narrating trauma: individuals, communities, storytelling	Millennium: Journal of International Studies	0	3
10.1177_002070201206700306	Canada and the inter-american human rights system	International Journal: Canada's Journal of Global Policy Analysis	0	2
10.1080_1540496x.2018.1441021	The forward premium in the nord pool power market	Emerging Markets Finance and Trade	125	629
10.1111_twec.12409	Public opinion distribution and party competition in us trade policy	The World Economy	0	2
10.1093_publius_pjy038	Crossing boundaries for intergovernmental management, by robert agranoff	Publius: The Journal of Federalism	0	0
10.1177_1478929916649613	Radical nostalgia, progressive patriotism and labour's 'english problem'	Political Studies Review	0	0
10.1093_ia_iiab028	Barriers down: how american power and free-flow policies shaped global media	International Affairs	0	0
10.1080_13629395.2014.966962	Exploiting anarchy: violent entrepreneurs and the collapse of libya's post-qadhafi settlement	Mediterranean Politics	0	1
10.1111_ropr.12295	Scientific advice and administrative traditions: the role of chief scientists in climate change adaptation	Review of Policy Research	9	3
10.1080_09668136.2019.1633132	Fortress russia. Conspiracy theories in post-soviet russia	Europe-Asia Studies	0	0
10.1017_s1537592715000316	A discussion of melissa schwartzberg's counting the many: the origins and limits of supermajority rule	Perspectives on Politics	0	3
10.1086_692740	The role of the information environment in partisan voting	The Journal of Politics	53	84
10.1016_j.jjie.2017.02.004	International financial integration of east asia and pacific	Journal of the Japanese and International Economies	115	31
10.1007_s11127-010-9604-y	Local government structure and the quality of minority neighborhoods	Public Choice	178	81
10.1162_isec_a_00390			9	2
10.1332_030557317x14895966143481	Local governance under austerity: hybrid organisations and hybrid officers	Policy & Politics	0	1
10.1086_704700	Governing coalition partners' images shift in parallel but do not converge	The Journal of Politics	58	48
10.1016_j.ejpoleco.2015.03.004	Media freedom and democracy in the fight against corruption	European Journal of Political Economy	81	212
10.1017_s1743923x17000599	Exploring gender differences in support for rightist parties: the role of party and gender ideology	Politics & Gender	55	163
10.1057_s41269-018-0082-4	Impeding constitutional amendments: why are entrenchment clauses codified in contemporary constitutions?	Acta Politica	113	766
10.1017_s104909651100076x	Challenging the constitution: convening a mock constitutional convention for american government students	PS: Political Science & Politics	0	24
10.1111_jcms.12014	Does the 'european grouping of territorial co-operation' promote multi-level governance within the european union?	JCMS: Journal of Common Market Studies	2	3
10.1017_s0007123418000376	Development or rent seeking? How political influence shapes public works provision in india	British Journal of Political Science	67	246
10.1111_ajps.12380	Narcissism and political orientations	American Journal of Political Science	26	53
10.1080_14742831003603349	Local to global activism: the movement to protect the rights of refugees and asylum seekers	Social Movement Studies	0	2
10.2753_ree1540-496x480300	Introduction	Emerging Markets Finance and Trade	0	1
10.1080_13510347.2012.668438	Explaining (and re-explaining) political change in the middle east during the arab spring: trajectories of democratization and of authoritarianism in the maghreb	Democratization	0	0
10.1080_13533312.2014.995904	The regional dimension of statebuilding interventions	International Peacekeeping	6	1
10.1093_ia_iiz222	Central asia in the era of sovereignty: the return of tamerlane?	International Affairs	0	0
10.1080_1540496x.2015.1039864	Loan portfolio loss models with more flexible asymmetry and tails for korean banks and a comparison of their regional concentrations	Emerging Markets Finance and Trade	32	178
10.1080_03003930.2012.755462	Why does citizens' knowledge of new policy vary between municipalities? The case of the social support act	Local Government Studies	30	16
10.1177_0010414019843548	Democracy and the entanglement of political parties and the state: party�state relations in 20th-century france, italy, and germany	Comparative Political Studies	1	5
10.1111_ips.12005	Toward trans-gendering international relations?	International Political Sociology	0	4
10.1111_j.1541-0072.2009.00340.x	Editors' introduction:policy studies journalfebruary 2010	Policy Studies Journal	1	0
10.1016_j.ejpoleco.2018.01.001	Us aid, us educated leaders and economic ideology	European Journal of Political Economy	114	514
10.1111_jcms.13059	Negotiating brexit: the cultural sources of british hard bargaining	JCMS: Journal of Common Market Studies	1	1
10.1017_s0022381610000836	When candidates value good character: a spatial model with applications to congressional elections	The Journal of Politics	64	112
10.1177_1465116514553487	Austerity and credibility in the eurozone	European Union Politics	37	258
10.1016_j.marpol.2015.07.008	Review of shark legislation in canada as a conservation tool	Marine Policy	17	0
10.1177_0738894215614504	What explains ethnic organizational violence? Evidence from eastern europe and russia	Conflict Management and Peace Science	86	153
10.1080_13608746.2011.598363	Turkish accession and defining the boundaries of nationalism and supranationalism: discourses in the european commission	South European Society and Politics	1	2
10.1080_07036337.2018.1487961	Wipeout? Entrepreneurship, policy interaction and the eu's 2030 renewable energy target	Journal of European Integration	12	2
10.1017_s1537592720001425	Empire's labor: the global army that supports u.s. Wars. By adam moore. Ithaca, ny: cornell university press, 2019. 264p. $19.95 paper.	Perspectives on Politics	0	1
10.1016_j.ejpoleco.2018.04.002	Resource rents and populism in resource-dependent economies	European Journal of Political Economy	31	192
10.1080_14754835.2019.1629889	Political functions of impunity in the war on terror: evidence from afghanistan	Journal of Human Rights	0	7
10.1111_pops.12071	Narratives and social identity formation among somalis and post-enlargement poles	Political Psychology	5	0
10.1177_1465116512465133	Challenges to liberal intergovernmentalism	European Union Politics	15	43
10.1080_14782804.2014.884809	Nostradamus: how an obscure renaissance astrologer became the modern prophet of doom	Journal of Contemporary European Studies	3	0
10.1016_j.marpol.2014.01.021	Can management effort be predicted for marine protected areas? New considerations for network design	Marine Policy	40	24
10.1111_psj.12226	Does policy diffusion need space? Spatializing the dynamics of policy diffusion	Policy Studies Journal	51	31
10.1162_glep_x_00248			0	4
10.1111_jcms.12635	The religious foundations of the european crisis	JCMS: Journal of Common Market Studies	3	4
10.1080_09668131003737043	Books received	Europe-Asia Studies	0	0
10.1080_03003930.2018.1429071	Local government in england: centralisation, autonomy and control, by colin copus, mark roberts and rachel wall, london, palgrave macmillan, 2017, 206 pp., �59.99 (hardback), �47.99 (ebook), isbn 978-1-137-26417-6 (hardback); 978-1-137-26418-3 (ebook)	Local Government Studies	0	0
10.1080_09592296.2013.817936	Lighting the fire: brazil's energy diplomacy, 2003�2010	Diplomacy & Statecraft	3	0
10.1080_13523260.2014.928088	Notes on contributors	Contemporary Security Policy	0	0
10.1017_s1049096518000598	Introduction to gender in the journals, continued: evidence from five political science journals	PS: Political Science & Politics	0	0
10.1017_s1049096519002178	Law and public policy: a gap between theory and teaching?	PS: Political Science & Politics	8	5
10.1111_twec.12381	Cross-border travellers and parallel trade: implications for asian economies	The World Economy	4	19
10.1080_09644016.2018.1471192	Democracy in the woods: environmental conservation and social justice in india, tanzania and mexico, by prakash kashwan, new york, oxford university press, 2017, xx + 311 pp., index, $78 (hardback), isbn 9780190637385	Environmental Politics	4	0
10.1016_j.spacepol.2018.06.001	Climbing the space technology ladder in the south: the case of argentina	Space Policy	12	8
10.1017_s1537592719003529	Conservative innovators: how states are challenging federal power. By ben merriman. Chicago: university of chicago press, 2019. 232p. $105.00 cloth, $32.50 paper.	Perspectives on Politics	0	0
10.1177_0968344511425719	Notes on contributors	War in History	0	0
